"id_delito","tipo","uso_arma","barrio"
"45148","Robo","NO","PALERMO"
"45150","Robo","NO","PALERMO"
"45152","Robo","NO","PALERMO"
"45154","Robo","NO","PALERMO"
"45156","Robo","NO","PALERMO"
"45159","Robo","NO","PALERMO"
"45163","Robo","NO","PALERMO"
"45164","Robo","NO","PALERMO"
"45165","Robo","NO","PALERMO"
"45167","Robo","NO","PALERMO"
"45171","Robo","NO","PALERMO"
"45173","Robo","NO","PALERMO"
"45181","Robo","NO","PALERMO"
"45185","Robo","NO","PALERMO"
"45192","Robo","NO","PALERMO"
"45193","Robo","NO","PALERMO"
"45194","Robo","NO","PALERMO"
"45198","Robo","NO","PALERMO"
"45201","Robo","NO","PALERMO"
"45202","Robo","NO","PALERMO"
"45203","Robo","NO","PALERMO"
"45205","Robo","NO","PALERMO"
"45212","Robo","NO","PALERMO"
"45213","Robo","NO","PALERMO"
"45214","Robo","NO","PALERMO"
"45217","Robo","NO","PALERMO"
"45223","Robo","NO","PALERMO"
"45233","Robo","NO","PALERMO"
"45235","Robo","NO","PALERMO"
"45236","Robo","NO","PALERMO"
"45238","Robo","NO","PALERMO"
"45252","Robo","NO","PALERMO"
"45253","Robo","NO","PALERMO"
"45254","Robo","NO","PALERMO"
"45255","Robo","NO","PALERMO"
"45258","Robo","NO","PALERMO"
"45259","Robo","NO","PALERMO"
"45260","Robo","NO","PALERMO"
"45262","Robo","NO","PALERMO"
"45266","Robo","NO","PALERMO"
"45271","Robo","NO","PALERMO"
"45273","Robo","NO","PALERMO"
"45275","Robo","NO","PALERMO"
"45278","Robo","NO","PALERMO"
"45279","Robo","NO","PALERMO"
"45281","Robo","NO","PALERMO"
"45282","Robo","NO","PALERMO"
"45284","Robo","NO","PALERMO"
"45285","Robo","NO","PALERMO"
"45286","Robo","NO","PALERMO"
"45287","Robo","NO","PALERMO"
"45288","Robo","NO","PALERMO"
"45289","Robo","NO","PALERMO"
"45290","Robo","NO","PALERMO"
"45293","Robo","NO","PALERMO"
"45299","Robo","NO","PALERMO"
"45300","Robo","NO","PALERMO"
"45301","Robo","NO","PALERMO"
"45308","Robo","NO","PALERMO"
"45310","Robo","NO","PALERMO"
"45311","Robo","NO","PALERMO"
"45313","Robo","NO","PALERMO"
"45318","Robo","NO","PALERMO"
"45319","Robo","NO","PALERMO"
"45320","Robo","NO","PALERMO"
"45322","Robo","NO","PALERMO"
"45324","Robo","NO","PALERMO"
"45328","Robo","NO","PALERMO"
"45329","Robo","NO","PALERMO"
"45334","Robo","NO","PALERMO"
"45337","Robo","NO","PALERMO"
"45340","Robo","NO","PALERMO"
"45342","Robo","NO","PALERMO"
"45344","Robo","NO","PALERMO"
"45347","Robo","NO","PALERMO"
"45349","Robo","NO","PALERMO"
"45351","Robo","NO","PALERMO"
"45360","Robo","NO","PALERMO"
"45363","Robo","NO","PALERMO"
"45364","Robo","NO","PALERMO"
"45365","Robo","NO","PALERMO"
"45371","Robo","NO","PALERMO"
"45372","Robo","NO","PALERMO"
"45374","Robo","NO","PALERMO"
"45375","Robo","NO","PALERMO"
"45376","Robo","NO","PALERMO"
"45377","Robo","NO","PALERMO"
"45378","Robo","NO","PALERMO"
"45379","Robo","NO","PALERMO"
"45380","Robo","NO","PALERMO"
"45383","Robo","NO","PALERMO"
"45384","Robo","NO","PALERMO"
"45392","Robo","NO","PALERMO"
"45396","Robo","NO","PALERMO"
"45397","Robo","NO","PALERMO"
"45398","Robo","NO","PALERMO"
"45399","Robo","NO","PALERMO"
"45405","Robo","NO","PALERMO"
"45413","Robo","NO","PALERMO"
"45414","Robo","NO","PALERMO"
"45415","Robo","NO","PALERMO"
"45417","Robo","NO","PALERMO"
"45418","Robo","NO","PALERMO"
"45421","Robo","NO","PALERMO"
"45423","Robo","NO","PALERMO"
"45424","Robo","NO","PALERMO"
"45426","Robo","NO","PALERMO"
"45427","Robo","NO","PALERMO"
"45428","Robo","NO","PALERMO"
"45429","Robo","NO","PALERMO"
"45430","Robo","NO","PALERMO"
"45432","Robo","NO","PALERMO"
"45433","Robo","NO","PALERMO"
"45437","Robo","NO","PALERMO"
