"ID_SUELDO","SUELDO_NETO","ID_PUESTO_TRABAJO","FECHA"
"3366","3138307","12","2/25/2025"
"2005","3165138","12","2/25/2025"
"4525","3173247","12","2/25/2025"
"4142","3180000","12","2/25/2025"
"2818","3183000","12","2/25/2025"
"4523","3184000","12","2/25/2025"
"4991","3200000","12","2/25/2025"
"4072","3201623","12","2/25/2025"
"4418","3247816","12","2/25/2025"
"2298","3282762","12","2/25/2025"
"3133","3300000","12","2/25/2025"
"3926","3300000","12","2/25/2025"
"4047","3400000","12","2/25/2025"
"3011","3400000","12","2/25/2025"
"2853","3470000","12","2/25/2025"
"3350","3480000","12","2/25/2025"
"2218","3500000","12","2/25/2025"
"3026","3500000","12","2/25/2025"
"3605","3500000","12","2/25/2025"
"2867","3500000","12","2/25/2025"
"2627","3500000","12","2/25/2025"
"2696","3535676","12","2/25/2025"
"2303","3553681","12","2/25/2025"
"2493","3572039","12","2/25/2025"
"3151","3594091","12","2/25/2025"
"2970","3643486","12","2/25/2025"
"2721","3700000","12","2/25/2025"
"3208","3700000","12","2/25/2025"
"3059","3800000","12","2/25/2025"
"3927","3900000","12","2/25/2025"
"4857","3900000","12","2/25/2025"
"2709","3900000","12","2/25/2025"
"2840","4000000","12","2/25/2025"
"2382","4000000","12","2/25/2025"
"2199","4100000","12","2/25/2025"
"4291","4100000","12","2/25/2025"
"2116","4100000","12","2/25/2025"
"3807","4100000","12","2/25/2025"
"2823","4230000","12","2/25/2025"
"2395","4328000","12","2/25/2025"
"4456","4400000","12","2/25/2025"
"3334","4500000","12","2/25/2025"
"2370","4642713","12","2/25/2025"
"4999","4885505","12","2/25/2025"
"4571","5000000","12","2/25/2025"
"3077","5000000","12","2/25/2025"
"2642","6000000","12","2/25/2025"
"2083","496000","10","2/25/2025"
"2845","498000","10","2/25/2025"
"3139","517000","10","2/25/2025"
"4386","598000","10","2/25/2025"
"3516","600000","10","2/25/2025"
"2915","620000","10","2/25/2025"
"3440","630302","10","2/25/2025"
"4970","638270","10","2/25/2025"
"2103","640000","10","2/25/2025"
"2671","650000","10","2/25/2025"
"4194","660000","10","2/25/2025"
"4105","663000","10","2/25/2025"
"3742","664000","10","2/25/2025"
"4720","670000","10","2/25/2025"
"2311","690000","10","2/25/2025"
"3138","705000","10","2/25/2025"
"4067","710665","10","2/25/2025"
"4678","728000","10","2/25/2025"
"3145","730000","10","2/25/2025"
"1977","747000","10","2/25/2025"
"5171","784350","10","2/25/2025"
"2661","784350","10","2/25/2025"
"3465","790000","10","2/25/2025"
"2650","806691","10","2/25/2025"
"2979","807000","10","2/25/2025"
"2006","808605","10","2/25/2025"
"2069","810000","10","2/25/2025"
"2773","825000","10","2/25/2025"
"3418","830000","10","2/25/2025"
"3945","830000","10","2/25/2025"
"3543","836000","10","2/25/2025"
"5241","840000","10","2/25/2025"
"3044","840000","10","2/25/2025"
"2822","841263","10","2/25/2025"
"4162","842000","10","2/25/2025"
"5137","846000","10","2/25/2025"
"3096","850000","10","2/25/2025"
"2327","854000","10","2/25/2025"
"3477","870000","10","2/25/2025"
"3242","877338","10","2/25/2025"
"2734","883000","10","2/25/2025"
"2525","920000","10","2/25/2025"
"4536","923000","10","2/25/2025"
"2562","940000","10","2/25/2025"
"4033","941000","10","2/25/2025"
"3396","950000","10","2/25/2025"
"2620","957031","10","2/25/2025"
"4045","960000","10","2/25/2025"
"5315","960000","10","2/25/2025"
"2545","980000","10","2/25/2025"
"3614","986541","10","2/25/2025"
"1980","995856","10","2/25/2025"
"1976","996000","10","2/25/2025"
"3800","996000","10","2/25/2025"
"2485","996996","10","2/25/2025"
"2551","1000000","10","2/25/2025"
"4657","1000000","10","2/25/2025"
"4408","1000000","10","2/25/2025"
"3701","1000000","10","2/25/2025"
"2633","1000000","10","2/25/2025"
"4245","1000000","10","2/25/2025"
"3150","1000000","10","2/25/2025"
"4478","1006000","10","2/25/2025"
"2438","1011000","10","2/25/2025"
"4010","1023747","10","2/25/2025"
"4078","1024250","10","2/25/2025"
"4279","1024266","10","2/25/2025"
"4618","1028318","10","2/25/2025"
"4037","1034000","10","2/25/2025"
