Periodo,Sector,Departamento,Cargo,Provincia,Sueldo_Min_ARS,Sueldo_Max_ARS,Sueldo_Min_USD,Sueldo_Max_USD
2024-Q3,Energía y Petróleo,IT,Analista funcional,NOA,2877208.4,5194960.32,2580.45596412556,4659.15723766816
2024-Q3,Energía y Petróleo,IT,Analista funcional,Patagonia,3269555,5903364,2932.33632286995,5294.49686098655
2024-Q3,IT,IT,Analista funcional,Buenos Aires,3269560,5622251,2932.34080717489,5042.37757847534
2024-Q3,IT,IT,Analista funcional,Cuyo,3007995.2,5172470.92,2697.7535426009,4638.98737219731
2024-Q3,IT,IT,Analista funcional,Litoral,3007995.2,5172470.92,2697.7535426009,4638.98737219731
2024-Q3,IT,IT,Analista funcional,NEA,2877212.8,4947580.88,2580.4599103139,4437.2922690583
2024-Q3,IT,IT,Analista funcional,NOA,2877212.8,4947580.88,2580.4599103139,4437.2922690583
2024-Q3,IT,IT,Analista funcional,Patagonia,3269560,5622251,2932.34080717489,5042.37757847534
2024-Q3,Lab & Pharma,IT,Analista funcional,Buenos Aires,3269555,5903364,2932.33632286995,5294.49686098655
2024-Q3,Lab & Pharma,IT,Analista funcional,Cuyo,3007990.6,5431094.88,2697.74941704036,4870.93711210762
2024-Q3,Lab & Pharma,IT,Analista funcional,Litoral,3007990.6,5431094.88,2697.74941704036,4870.93711210762
2024-Q3,Lab & Pharma,IT,Analista funcional,NEA,2877208.4,5194960.32,2580.45596412556,4659.15723766816
2024-Q3,Lab & Pharma,IT,Analista funcional,NOA,2877208.4,5194960.32,2580.45596412556,4659.15723766816
2024-Q3,Lab & Pharma,IT,Analista funcional,Patagonia,3269555,5903364,2932.33632286995,5294.49686098655
2024-Q3,Manufactura,IT,Analista funcional,Buenos Aires,2998540,5414020,2689.2735426009,4855.62331838565
2024-Q3,Manufactura,IT,Analista funcional,Cuyo,2758656.8,4980898.4,2474.13165919282,4467.1734529148
2024-Q3,Manufactura,IT,Analista funcional,Litoral,2758656.8,4980898.4,2474.13165919282,4467.1734529148
2024-Q3,Manufactura,IT,Analista funcional,NEA,2638715.2,4764337.6,2366.56071748879,4272.94852017937
2024-Q3,Manufactura,IT,Analista funcional,NOA,2638715.2,4764337.6,2366.56071748879,4272.94852017937
2024-Q3,Manufactura,IT,Analista funcional,Patagonia,2998540,5414020,2689.2735426009,4855.62331838565
2024-Q3,Retail & Comercio,IT,Analista funcional,Buenos Aires,2998530,5414010,2689.26457399103,4855.61434977578
2024-Q3,Retail & Comercio,IT,Analista funcional,Cuyo,2758647.6,4980889.2,2474.12340807175,4467.16520179372
2024-Q3,Retail & Comercio,IT,Analista funcional,Litoral,2758647.6,4980889.2,2474.12340807175,4467.16520179372
2024-Q3,Retail & Comercio,IT,Analista funcional,NEA,2638706.4,4764328.8,2366.55282511211,4272.94062780269
2024-Q3,Retail & Comercio,IT,Analista funcional,NOA,2638706.4,4764328.8,2366.55282511211,4272.94062780269
2024-Q3,Retail & Comercio,IT,Analista funcional,Patagonia,2998530,5414010,2689.26457399103,4855.61434977578
2024-Q3,Servicios,IT,Analista funcional,Buenos Aires,2998530,5414010,2689.26457399103,4855.61434977578
2024-Q3,Servicios,IT,Analista funcional,Cuyo,2758647.6,4980889.2,2474.12340807175,4467.16520179372
2024-Q3,Servicios,IT,Analista funcional,Litoral,2758647.6,4980889.2,2474.12340807175,4467.16520179372
2024-Q3,Servicios,IT,Analista funcional,NEA,2638706.4,4764328.8,2366.55282511211,4272.94062780269
2024-Q3,Servicios,IT,Analista funcional,NOA,2638706.4,4764328.8,2366.55282511211,4272.94062780269
2024-Q3,Servicios,IT,Analista funcional,Patagonia,2998530,5414010,2689.26457399103,4855.61434977578
2024-Q3,Transporte y logística,IT,Analista funcional,Buenos Aires,2998530,5414010,2689.26457399103,4855.61434977578
2024-Q3,Transporte y logística,IT,Analista funcional,Cuyo,2758647.6,4980889.2,2474.12340807175,4467.16520179372
2024-Q3,Transporte y logística,IT,Analista funcional,Litoral,2758647.6,4980889.2,2474.12340807175,4467.16520179372
2024-Q3,Transporte y logística,IT,Analista funcional,NEA,2638706.4,4764328.8,2366.55282511211,4272.94062780269
2024-Q3,Transporte y logística,IT,Analista funcional,NOA,2638706.4,4764328.8,2366.55282511211,4272.94062780269
2024-Q3,Transporte y logística,IT,Analista funcional,Patagonia,2998530,5414010,2689.26457399103,4855.61434977578
2024-Q3,Automotriz,IT,Arquitecto de Software,Buenos Aires,6675075,9141144,5986.61434977578,8198.33542600897
2024-Q3,Automotriz,IT,Arquitecto de Software,Cuyo,6141069,8409852.48,5507.68520179372,7542.46859192825
2024-Q3,Automotriz,IT,Arquitecto de Software,Litoral,6141069,8409852.48,5507.68520179372,7542.46859192825
2024-Q3,Automotriz,IT,Arquitecto de Software,NEA,5874066,8044206.72,5268.22062780269,7214.53517488789
2024-Q3,Automotriz,IT,Arquitecto de Software,NOA,5874066,8044206.72,5268.22062780269,7214.53517488789
2024-Q3,Automotriz,IT,Arquitecto de Software,Patagonia,6675075,9141144,5986.61434977578,8198.33542600897
2024-Q3,Banca & Serv Financieros,IT,Arquitecto de Software,Buenos Aires,6675075,9141144,5986.61434977578,8198.33542600897
2024-Q3,Banca & Serv Financieros,IT,Arquitecto de Software,Cuyo,6141069,8409852.48,5507.68520179372,7542.46859192825
2024-Q3,Banca & Serv Financieros,IT,Arquitecto de Software,Litoral,6141069,8409852.48,5507.68520179372,7542.46859192825
2024-Q3,Banca & Serv Financieros,IT,Arquitecto de Software,NEA,5874066,8044206.72,5268.22062780269,7214.53517488789
2024-Q3,Banca & Serv Financieros,IT,Arquitecto de Software,NOA,5874066,8044206.72,5268.22062780269,7214.53517488789
2024-Q3,Banca & Serv Financieros,IT,Arquitecto de Software,Patagonia,6675075,9141144,5986.61434977578,8198.33542600897
2024-Q3,Consumo masivo,IT,Arquitecto de Software,Buenos Aires,5358170,6882271,4805.533632287,6172.44035874439
2024-Q3,Consumo masivo,IT,Arquitecto de Software,Cuyo,4929516.4,6331689.32,4421.09094170404,5678.64513004484
2024-Q3,Consumo masivo,IT,Arquitecto de Software,Litoral,4929516.4,6331689.32,4421.09094170404,5678.64513004484
2024-Q3,Consumo masivo,IT,Arquitecto de Software,NEA,4715189.6,6056398.48,4228.86959641256,5431.74751569507
2024-Q3,Consumo masivo,IT,Arquitecto de Software,NOA,4715189.6,6056398.48,4228.86959641256,5431.74751569507
2024-Q3,Consumo masivo,IT,Arquitecto de Software,Patagonia,5358170,6882271,4805.533632287,6172.44035874439
2024-Q3,Energía y Petróleo,IT,Arquitecto de Software,Buenos Aires,7008829,9141144,6285.94529147982,8198.33542600897
2024-Q3,Energía y Petróleo,IT,Arquitecto de Software,Cuyo,6448122.68,8409852.48,5783.06966816143,7542.46859192825
2024-Q3,Energía y Petróleo,IT,Arquitecto de Software,Litoral,6448122.68,8409852.48,5783.06966816143,7542.46859192825
2024-Q3,Energía y Petróleo,IT,Arquitecto de Software,NEA,6167769.52,8044206.72,5531.63185650224,7214.53517488789
2024-Q3,Energía y Petróleo,IT,Arquitecto de Software,NOA,6167769.52,8044206.72,5531.63185650224,7214.53517488789
2024-Q3,Energía y Petróleo,IT,Arquitecto de Software,Patagonia,7008829,9141144,6285.94529147982,8198.33542600897
